# k               u                 rapidity          phi
+1.613227e+26     +8.904487e-01     +1.000000e+01     +6.121817e-41
+2.008739e+26     +8.932243e-01     +1.000000e+01     +4.170199e-41
+2.494582e+26     +8.959662e-01     +1.000000e+01     +2.853733e-41
+3.089689e+26     +8.986745e-01     +1.000000e+01     +1.961804e-41
+3.816549e+26     +9.013488e-01     +1.000000e+01     +1.354858e-41
+4.701783e+26     +9.039893e-01     +1.000000e+01     +9.400113e-42
+5.776790e+26     +9.065957e-01     +1.000000e+01     +6.552143e-42
+7.078473e+26     +9.091680e-01     +1.000000e+01     +4.588282e-42
+8.650041e+26     +9.117060e-01     +1.000000e+01     +3.228067e-42
+1.054191e+27     +9.142098e-01     +1.000000e+01     +2.281739e-42
+1.281265e+27     +9.166791e-01     +1.000000e+01     +1.620428e-42
+1.553013e+27     +9.191139e-01     +1.000000e+01     +1.156215e-42
+1.877257e+27     +9.215140e-01     +1.000000e+01     +8.288991e-43
+2.262987e+27     +9.238795e-01     +1.000000e+01     +5.970679e-43
+2.720489e+27     +9.262102e-01     +1.000000e+01     +4.321289e-43
+3.261486e+27     +9.285061e-01     +1.000000e+01     +3.142499e-43
+3.899282e+27     +9.307670e-01     +1.000000e+01     +2.296241e-43
+4.648914e+27     +9.329928e-01     +1.000000e+01     +1.685951e-43
+5.527302e+27     +9.351835e-01     +1.000000e+01     +1.243842e-43
+6.553403e+27     +9.373390e-01     +1.000000e+01     +9.221104e-44
+7.748360e+27     +9.394592e-01     +1.000000e+01     +6.869186e-44
+9.135644e+27     +9.415441e-01     +1.000000e+01     +5.142053e-44
+1.074119e+28     +9.435935e-01     +1.000000e+01     +3.867976e-44
+1.259350e+28     +9.456073e-01     +1.000000e+01     +2.923821e-44
+1.472378e+28     +9.475856e-01     +1.000000e+01     +2.220978e-44
+1.716597e+28     +9.495282e-01     +1.000000e+01     +1.695382e-44
+1.995678e+28     +9.514350e-01     +1.000000e+01     +1.300550e-44
+2.313576e+28     +9.533060e-01     +1.000000e+01     +1.002595e-44
+2.674519e+28     +9.551412e-01     +1.000000e+01     +7.767280e-45
+3.083002e+28     +9.569403e-01     +1.000000e+01     +6.047274e-45
+3.543773e+28     +9.587035e-01     +1.000000e+01     +4.731542e-45
+4.061809e+28     +9.604305e-01     +1.000000e+01     +3.720490e-45
+4.642293e+28     +9.621214e-01     +1.000000e+01     +2.940061e-45
+5.290573e+28     +9.637761e-01     +1.000000e+01     +2.334925e-45
+6.012125e+28     +9.653944e-01     +1.000000e+01     +1.863602e-45
+6.812496e+28     +9.669765e-01     +1.000000e+01     +1.494853e-45
+7.697248e+28     +9.685221e-01     +1.000000e+01     +1.205067e-45
+8.671887e+28     +9.700313e-01     +1.000000e+01     +9.763194e-46
+9.741789e+28     +9.715039e-01     +1.000000e+01     +7.949553e-46
+1.091211e+29     +9.729400e-01     +1.000000e+01     +6.505241e-46
+1.218772e+29     +9.743394e-01     +1.000000e+01     +5.350019e-46
+1.357304e+29     +9.757021e-01     +1.000000e+01     +4.421992e-46
+1.507203e+29     +9.770281e-01     +1.000000e+01     +3.673264e-46
+1.668800e+29     +9.783174e-01     +1.000000e+01     +3.066598e-46
+1.842353e+29     +9.795698e-01     +1.000000e+01     +2.572959e-46
+2.028039e+29     +9.807853e-01     +1.000000e+01     +2.169597e-46
+2.225937e+29     +9.819639e-01     +1.000000e+01     +1.838637e-46
+2.436021e+29     +9.831055e-01     +1.000000e+01     +1.565969e-46
+2.658148e+29     +9.842101e-01     +1.000000e+01     +1.340421e-46
+2.892051e+29     +9.852776e-01     +1.000000e+01     +1.153108e-46
+3.137330e+29     +9.863081e-01     +1.000000e+01     +9.969458e-47
+3.393441e+29     +9.873014e-01     +1.000000e+01     +8.662570e-47
+3.659696e+29     +9.882576e-01     +1.000000e+01     +7.564819e-47
+3.935259e+29     +9.891765e-01     +1.000000e+01     +6.639412e-47
+4.219138e+29     +9.900582e-01     +1.000000e+01     +5.856587e-47
+4.510196e+29     +9.909026e-01     +1.000000e+01     +5.192163e-47
+4.807143e+29     +9.917098e-01     +1.000000e+01     +4.626445e-47
+5.108550e+29     +9.924795e-01     +1.000000e+01     +4.143327e-47
+5.412853e+29     +9.932119e-01     +1.000000e+01     +3.729605e-47
+5.718365e+29     +9.939070e-01     +1.000000e+01     +3.374412e-47
+6.023289e+29     +9.945646e-01     +1.000000e+01     +3.068786e-47
+6.325732e+29     +9.951847e-01     +1.000000e+01     +2.805308e-47
+6.623726e+29     +9.957674e-01     +1.000000e+01     +2.577828e-47
+6.915247e+29     +9.963126e-01     +1.000000e+01     +2.381225e-47
+7.198236e+29     +9.968203e-01     +1.000000e+01     +2.211239e-47
+7.470623e+29     +9.972905e-01     +1.000000e+01     +2.064309e-47
+7.730353e+29     +9.977231e-01     +1.000000e+01     +1.937462e-47
+7.975411e+29     +9.981181e-01     +1.000000e+01     +1.828211e-47
+8.203847e+29     +9.984756e-01     +1.000000e+01     +1.734479e-47
+8.413801e+29     +9.987955e-01     +1.000000e+01     +1.654535e-47
+8.603532e+29     +9.990777e-01     +1.000000e+01     +1.586938e-47
+8.771437e+29     +9.993224e-01     +1.000000e+01     +1.530501e-47
+8.916079e+29     +9.995294e-01     +1.000000e+01     +1.484251e-47
+9.036202e+29     +9.996988e-01     +1.000000e+01     +1.447408e-47
+9.130754e+29     +9.998306e-01     +1.000000e+01     +1.419359e-47
+9.198898e+29     +9.999247e-01     +1.000000e+01     +1.399643e-47
+9.240030e+29     +9.999812e-01     +1.000000e+01     +1.387940e-47
+9.253782e+29     +1.000000e+00     +1.000000e+01     +1.384054e-47

+4.539993e-05     +6.123032e-17     +1.500000e+01     +1.490429e+01
+7.371789e-05     +6.135885e-03     +1.500000e+01     +1.459594e+01
+1.196968e-04     +1.227154e-02     +1.500000e+01     +1.401512e+01
+1.943464e-04     +1.840673e-02     +1.500000e+01     +1.352494e+01
+3.155344e-04     +2.454123e-02     +1.500000e+01     +1.303689e+01
+5.122537e-04     +3.067480e-02     +1.500000e+01     +1.255514e+01
+8.315415e-04     +3.680722e-02     +1.500000e+01     +1.207000e+01
+1.349694e-03     +4.293826e-02     +1.500000e+01     +1.158684e+01
+2.190438e-03     +4.906767e-02     +1.500000e+01     +1.110211e+01
+3.554376e-03     +5.519524e-02     +1.500000e+01     +1.061860e+01
+5.766662e-03     +6.132074e-02     +1.500000e+01     +1.013432e+01
+9.354195e-03     +6.744392e-02     +1.500000e+01     +9.650928e+00
+1.517055e-02     +7.356456e-02     +1.500000e+01     +9.167134e+00
+2.459807e-02     +7.968244e-02     +1.500000e+01     +8.684049e+00
+3.987474e-02     +8.579731e-02     +1.500000e+01     +8.200777e+00
+6.462251e-02     +9.190896e-02     +1.500000e+01     +7.718126e+00
+1.047011e-01     +9.801714e-02     +1.500000e+01     +7.235422e+00
+1.695867e-01     +1.041216e-01     +1.500000e+01     +6.753302e+00
+2.745984e-01     +1.102222e-01     +1.500000e+01     +6.271227e+00
+4.444898e-01     +1.163186e-01     +1.500000e+01     +5.789735e+00
+7.192425e-01     +1.224107e-01     +1.500000e+01     +5.308377e+00
+1.163405e+00     +1.284981e-01     +1.500000e+01     +4.827661e+00
+1.881136e+00     +1.345807e-01     +1.500000e+01     +4.347262e+00
+3.040436e+00     +1.406582e-01     +1.500000e+01     +3.867869e+00
+4.912129e+00     +1.467305e-01     +1.500000e+01     +3.389683e+00
+7.932574e+00     +1.527972e-01     +1.500000e+01     +2.914647e+00
+1.280446e+01     +1.588581e-01     +1.500000e+01     +2.445732e+00
+2.065870e+01     +1.649131e-01     +1.500000e+01     +1.990265e+00
+3.331438e+01     +1.709619e-01     +1.500000e+01     +1.559574e+00
+5.369573e+01     +1.770042e-01     +1.500000e+01     +1.170109e+00
+8.650058e+01     +1.830399e-01     +1.500000e+01     +8.376578e-01
+1.392714e+02     +1.890687e-01     +1.500000e+01     +5.726329e-01
+2.241096e+02     +1.950903e-01     +1.500000e+01     +3.751464e-01
+3.604186e+02     +2.011046e-01     +1.500000e+01     +2.369612e-01
+5.792874e+02     +2.071114e-01     +1.500000e+01     +1.451731e-01
+9.304937e+02     +2.131103e-01     +1.500000e+01     +8.677386e-02
+1.493680e+03     +2.191012e-01     +1.500000e+01     +5.082814e-02
+2.396175e+03     +2.250839e-01     +1.500000e+01     +2.928952e-02
+3.841394e+03     +2.310581e-01     +1.500000e+01     +1.664699e-02
+6.154045e+03     +2.370236e-01     +1.500000e+01     +9.353703e-03
+9.852044e+03     +2.429802e-01     +1.500000e+01     +5.203427e-03
+1.576080e+04     +2.489276e-01     +1.500000e+01     +2.870022e-03
+2.519465e+04     +2.548657e-01     +1.500000e+01     +1.570899e-03
+4.024477e+04     +2.607941e-01     +1.500000e+01     +8.541012e-04
+6.423528e+04     +2.667128e-01     +1.500000e+01     +4.615424e-04
+1.024456e+05     +2.726214e-01     +1.500000e+01     +2.480695e-04
+1.632528e+05     +2.785197e-01     +1.500000e+01     +1.326669e-04
+2.599372e+05     +2.844075e-01     +1.500000e+01     +7.063645e-05
+4.135317e+05     +2.902847e-01     +1.500000e+01     +3.745375e-05
+6.573160e+05     +2.961509e-01     +1.500000e+01     +1.978635e-05
+1.043896e+06     +3.020059e-01     +1.500000e+01     +1.041680e-05
+1.656341e+06     +3.078496e-01     +1.500000e+01     +5.467293e-06
+2.625698e+06     +3.136817e-01     +1.500000e+01     +2.861239e-06
+4.158481e+06     +3.195020e-01     +1.500000e+01     +1.493576e-06
+6.579788e+06     +3.253103e-01     +1.500000e+01     +7.777711e-07
+1.040085e+07     +3.311063e-01     +1.500000e+01     +4.041633e-07
+1.642473e+07     +3.368899e-01     +1.500000e+01     +2.096003e-07
+2.591148e+07     +3.426607e-01     +1.500000e+01     +1.085105e-07
+4.083605e+07     +3.484187e-01     +1.500000e+01     +5.608386e-08
+6.429025e+07     +3.541635e-01     +1.500000e+01     +2.894633e-08
+1.011088e+08     +3.598950e-01     +1.500000e+01     +1.492018e-08
+1.588430e+08     +3.656130e-01     +1.500000e+01     +7.681976e-09
+2.492728e+08     +3.713172e-01     +1.500000e+01     +3.951126e-09
+3.907527e+08     +3.770074e-01     +1.500000e+01     +2.030502e-09
+6.118460e+08     +3.826834e-01     +1.500000e+01     +1.042672e-09
+9.569471e+08     +3.883450e-01     +1.500000e+01     +5.350961e-10
+1.494969e+09     +3.939920e-01     +1.500000e+01     +2.744607e-10
+2.332746e+09     +3.996242e-01     +1.500000e+01     +1.407231e-10
+3.635687e+09     +4.052413e-01     +1.500000e+01     +7.212891e-11
+5.659552e+09     +4.108432e-01     +1.500000e+01     +3.696405e-11
+8.799276e+09     +4.164296e-01     +1.500000e+01     +1.894067e-11
+1.366388e+10     +4.220003e-01     +1.500000e+01     +9.705561e-12
+2.119121e+10     +4.275551e-01     +1.500000e+01     +4.973623e-12
+3.282354e+10     +4.330938e-01     +1.500000e+01     +2.549246e-12
+5.077566e+10     +4.386162e-01     +1.500000e+01     +1.306934e-12
+7.844389e+10     +4.441221e-01     +1.500000e+01     +6.702783e-13
+1.210289e+11     +4.496113e-01     +1.500000e+01     +3.438991e-13
+1.864825e+11     +4.550836e-01     +1.500000e+01     +1.765366e-13
+2.869455e+11     +4.605387e-01     +1.500000e+01     +9.067347e-14
+4.409261e+11     +4.659765e-01     +1.500000e+01     +4.660349e-14
+6.765974e+11     +4.713967e-01     +1.500000e+01     +2.396969e-14
+1.036778e+12     +4.767992e-01     +1.500000e+01     +1.233844e-14
+1.586447e+12     +4.821838e-01     +1.500000e+01     +6.356601e-15
+2.424054e+12     +4.875502e-01     +1.500000e+01     +3.277948e-15
+3.698532e+12     +4.928982e-01     +1.500000e+01     +1.692012e-15
+5.634816e+12     +4.982277e-01     +1.500000e+01     +8.743261e-16
+8.572087e+12     +5.035384e-01     +1.500000e+01     +4.522964e-16
+1.302096e+13     +5.088301e-01     +1.500000e+01     +2.342581e-16
+1.974886e+13     +5.141027e-01     +1.500000e+01     +1.214784e-16
+2.990729e+13     +5.193560e-01     +1.500000e+01     +6.307783e-17
+4.522110e+13     +5.245897e-01     +1.500000e+01     +3.279730e-17
+6.826965e+13     +5.298036e-01     +1.500000e+01     +1.707741e-17
+1.029034e+14     +5.349976e-01     +1.500000e+01     +8.905102e-18
+1.548606e+14     +5.401715e-01     +1.500000e+01     +4.650781e-18
+2.326774e+14     +5.453250e-01     +1.500000e+01     +2.432724e-18
+3.490303e+14     +5.504580e-01     +1.500000e+01     +1.274606e-18
+5.227102e+14     +5.555702e-01     +1.500000e+01     +6.689362e-19
+7.815221e+14     +5.606616e-01     +1.500000e+01     +3.516852e-19
+1.166534e+15     +5.657318e-01     +1.500000e+01     +1.852223e-19
+1.738291e+15     +5.707807e-01     +1.500000e+01     +9.773180e-20
+2.585893e+15     +5.758082e-01     +1.500000e+01     +5.166437e-20
+3.840207e+15     +5.808140e-01     +1.500000e+01     +2.736476e-20
+5.693097e+15     +5.857979e-01     +1.500000e+01     +1.452266e-20
+8.425308e+15     +5.907597e-01     +1.500000e+01     +7.723007e-21
+1.244686e+16     +5.956993e-01     +1.500000e+01     +4.115485e-21
+1.835543e+16     +6.006165e-01     +1.500000e+01     +2.197762e-21
+2.702050e+16     +6.055110e-01     +1.500000e+01     +1.176180e-21
+3.970453e+16     +6.103828e-01     +1.500000e+01     +6.308558e-22
+5.823691e+16     +6.152316e-01     +1.500000e+01     +3.391236e-22
+8.526323e+16     +6.200572e-01     +1.500000e+01     +1.827202e-22
+1.246018e+17     +6.248595e-01     +1.500000e+01     +9.867874e-23
+1.817522e+17     +6.296382e-01     +1.500000e+01     +5.341922e-23
+2.646195e+17     +6.343933e-01     +1.500000e+01     +2.898787e-23
+3.845427e+17     +6.391244e-01     +1.500000e+01     +1.576911e-23
+5.577526e+17     +6.438315e-01     +1.500000e+01     +8.599596e-24
+8.074340e+17     +6.485144e-01     +1.500000e+01     +4.701708e-24
+1.166634e+18     +6.531728e-01     +1.500000e+01     +2.577198e-24
+1.682359e+18     +6.578067e-01     +1.500000e+01     +1.416381e-24
+2.421325e+18     +6.624158e-01     +1.500000e+01     +7.804780e-25
+3.478017e+18     +6.669999e-01     +1.500000e+01     +4.312354e-25
+4.985959e+18     +6.715590e-01     +1.500000e+01     +2.389181e-25
+7.133428e+18     +6.760927e-01     +1.500000e+01     +1.327361e-25
+1.018532e+19     +6.806010e-01     +1.500000e+01     +7.395066e-26
+1.451348e+19     +6.850837e-01     +1.500000e+01     +4.131730e-26
+2.063877e+19     +6.895405e-01     +1.500000e+01     +2.315080e-26
+2.928905e+19     +6.939715e-01     +1.500000e+01     +1.300971e-26
+4.147920e+19     +6.983762e-01     +1.500000e+01     +7.332370e-27
+5.862101e+19     +7.027547e-01     +1.500000e+01     +4.144945e-27
+8.267391e+19     +7.071068e-01     +1.500000e+01     +2.350163e-27
+1.163510e+20     +7.114322e-01     +1.500000e+01     +1.336609e-27
+1.634004e+20     +7.157308e-01     +1.500000e+01     +7.625090e-28
+2.289873e+20     +7.200025e-01     +1.500000e+01     +4.363567e-28
+3.202135e+20     +7.242471e-01     +1.500000e+01     +2.504962e-28
+4.468197e+20     +7.284644e-01     +1.500000e+01     +1.442597e-28
+6.221342e+20     +7.326543e-01     +1.500000e+01     +8.334501e-29
+8.643496e+20     +7.368166e-01     +1.500000e+01     +4.830880e-29
+1.198238e+21     +7.409511e-01     +1.500000e+01     +2.809256e-29
+1.657446e+21     +7.450578e-01     +1.500000e+01     +1.639062e-29
+2.287566e+21     +7.491364e-01     +1.500000e+01     +9.594995e-30
+3.150213e+21     +7.531868e-01     +1.500000e+01     +5.635852e-30
+4.328460e+21     +7.572088e-01     +1.500000e+01     +3.321591e-30
+5.934018e+21     +7.612024e-01     +1.500000e+01     +1.964374e-30
+8.116727e+21     +7.651673e-01     +1.500000e+01     +1.165735e-30
+1.107706e+22     +7.691033e-01     +1.500000e+01     +6.942119e-31
+1.508256e+22     +7.730105e-01     +1.500000e+01     +4.148655e-31
+2.048928e+22     +7.768885e-01     +1.500000e+01     +2.488079e-31
+2.776994e+22     +7.807372e-01     +1.500000e+01     +1.497506e-31
+3.755041e+22     +7.845566e-01     +1.500000e+01     +9.045636e-32
+5.065717e+22     +7.883464e-01     +1.500000e+01     +5.483800e-32
+6.817873e+22     +7.921066e-01     +1.500000e+01     +3.336673e-32
+9.154480e+22     +7.958369e-01     +1.500000e+01     +2.037707e-32
+1.226282e+23     +7.995373e-01     +1.500000e+01     +1.249058e-32
+1.638757e+23     +8.032075e-01     +1.500000e+01     +7.684976e-33
+2.184746e+23     +8.068476e-01     +1.500000e+01     +4.746116e-33
+2.905663e+23     +8.104572e-01     +1.500000e+01     +2.942226e-33
+3.855162e+23     +8.140363e-01     +1.500000e+01     +1.830930e-33
+5.102564e+23     +8.175848e-01     +1.500000e+01     +1.143751e-33
+6.737181e+23     +8.211025e-01     +1.500000e+01     +7.172516e-34
+8.873753e+23     +8.245893e-01     +1.500000e+01     +4.515411e-34
+1.165927e+24     +8.280450e-01     +1.500000e+01     +2.853806e-34
+1.528149e+24     +8.314696e-01     +1.500000e+01     +1.810752e-34
+1.997956e+24     +8.348629e-01     +1.500000e+01     +1.153495e-34
+2.605721e+24     +8.382247e-01     +1.500000e+01     +7.377351e-35
+3.389902e+24     +8.415550e-01     +1.500000e+01     +4.737269e-35
+4.399054e+24     +8.448536e-01     +1.500000e+01     +3.054246e-35
+5.694296e+24     +8.481203e-01     +1.500000e+01     +1.977164e-35
+7.352336e+24     +8.513552e-01     +1.500000e+01     +1.285138e-35
+9.469147e+24     +8.545580e-01     +1.500000e+01     +8.387631e-36
+1.216445e+25     +8.577286e-01     +1.500000e+01     +5.496884e-36
+1.558714e+25     +8.608669e-01     +1.500000e+01     +3.617389e-36
+1.992178e+25     +8.639729e-01     +1.500000e+01     +2.390455e-36
+2.539649e+25     +8.670462e-01     +1.500000e+01     +1.586303e-36
+3.229234e+25     +8.700870e-01     +1.500000e+01     +1.057102e-36
+4.095447e+25     +8.730950e-01     +1.500000e+01     +7.074338e-37
+5.180544e+25     +8.760701e-01     +1.500000e+01     +4.754428e-37
+6.536086e+25     +8.790122e-01     +1.500000e+01     +3.208977e-37
+8.224788e+25     +8.819213e-01     +1.500000e+01     +2.175185e-37
+1.032268e+26     +8.847971e-01     +1.500000e+01     +1.480808e-37
+1.292163e+26     +8.876396e-01     +1.500000e+01     +1.012465e-37
+1.613227e+26     +8.904487e-01     +1.500000e+01     +6.952658e-38
+2.008739e+26     +8.932243e-01     +1.500000e+01     +4.795314e-38
+2.494582e+26     +8.959662e-01     +1.500000e+01     +3.321924e-38
+3.089689e+26     +8.986745e-01     +1.500000e+01     +2.311392e-38
+3.816549e+26     +9.013488e-01     +1.500000e+01     +1.615400e-38
+4.701783e+26     +9.039893e-01     +1.500000e+01     +1.134002e-38
+5.776790e+26     +9.065957e-01     +1.500000e+01     +7.996230e-39
+7.078473e+26     +9.091680e-01     +1.500000e+01     +5.663690e-39
+8.650041e+26     +9.117060e-01     +1.500000e+01     +4.029644e-39
+1.054191e+27     +9.142098e-01     +1.500000e+01     +2.879993e-39
+1.281265e+27     +9.166791e-01     +1.500000e+01     +2.067682e-39
+1.553013e+27     +9.191139e-01     +1.500000e+01     +1.491242e-39
+1.877257e+27     +9.215140e-01     +1.500000e+01     +1.080423e-39
+2.262987e+27     +9.238795e-01     +1.500000e+01     +7.863680e-40
+2.720489e+27     +9.262102e-01     +1.500000e+01     +5.749802e-40
+3.261486e+27     +9.285061e-01     +1.500000e+01     +4.223566e-40
+3.899282e+27     +9.307670e-01     +1.500000e+01     +3.116836e-40
+4.648914e+27     +9.329928e-01     +1.500000e+01     +2.310791e-40
+5.527302e+27     +9.351835e-01     +1.500000e+01     +1.721186e-40
+6.553403e+27     +9.373390e-01     +1.500000e+01     +1.288011e-40
+7.748360e+27     +9.394592e-01     +1.500000e+01     +9.683742e-41
+9.135644e+27     +9.415441e-01     +1.500000e+01     +7.314803e-41
+1.074119e+28     +9.435935e-01     +1.500000e+01     +5.551434e-41
+1.259350e+28     +9.456073e-01     +1.500000e+01     +4.233055e-41
+1.472378e+28     +9.475856e-01     +1.500000e+01     +3.243065e-41
+1.716597e+28     +9.495282e-01     +1.500000e+01     +2.496395e-41
+1.995678e+28     +9.514350e-01     +1.500000e+01     +1.930780e-41
+2.313576e+28     +9.533060e-01     +1.500000e+01     +1.500433e-41
+2.674519e+28     +9.551412e-01     +1.500000e+01     +1.171574e-41
+3.083002e+28     +9.569403e-01     +1.500000e+01     +9.191677e-42
+3.543773e+28     +9.587035e-01     +1.500000e+01     +7.245956e-42
+4.061809e+28     +9.604305e-01     +1.500000e+01     +5.739498e-42
+4.642293e+28     +9.621214e-01     +1.500000e+01     +4.568075e-42
+5.290573e+28     +9.637761e-01     +1.500000e+01     +3.653205e-42
+6.012125e+28     +9.653944e-01     +1.500000e+01     +2.935618e-42
+6.812496e+28     +9.669765e-01     +1.500000e+01     +2.370333e-42
+7.697248e+28     +9.685221e-01     +1.500000e+01     +1.923118e-42
+8.671887e+28     +9.700313e-01     +1.500000e+01     +1.567791e-42
+9.741789e+28     +9.715039e-01     +1.500000e+01     +1.284273e-42
+1.091211e+29     +9.729400e-01     +1.500000e+01     +1.057092e-42
+1.218772e+29     +9.743394e-01     +1.500000e+01     +8.742884e-43
+1.357304e+29     +9.757021e-01     +1.500000e+01     +7.265769e-43
+1.507203e+29     +9.770281e-01     +1.500000e+01     +6.067277e-43
+1.668800e+29     +9.783174e-01     +1.500000e+01     +5.090841e-43
+1.842353e+29     +9.795698e-01     +1.500000e+01     +4.292091e-43
+2.028039e+29     +9.807853e-01     +1.500000e+01     +3.636055e-43
+2.225937e+29     +9.819639e-01     +1.500000e+01     +3.095100e-43
+2.436021e+29     +9.831055e-01     +1.500000e+01     +2.647282e-43
+2.658148e+29     +9.842101e-01     +1.500000e+01     +2.275143e-43
+2.892051e+29     +9.852776e-01     +1.500000e+01     +1.964715e-43
+3.137330e+29     +9.863081e-01     +1.500000e+01     +1.704809e-43
+3.393441e+29     +9.873014e-01     +1.500000e+01     +1.486408e-43
+3.659696e+29     +9.882576e-01     +1.500000e+01     +1.302241e-43
+3.935259e+29     +9.891765e-01     +1.500000e+01     +1.146407e-43
+4.219138e+29     +9.900582e-01     +1.500000e+01     +1.014113e-43
+4.510196e+29     +9.909026e-01     +1.500000e+01     +9.014488e-44
+4.807143e+29     +9.917098e-01     +1.500000e+01     +8.052138e-44
+5.108550e+29     +9.924795e-01     +1.500000e+01     +7.227799e-44
+5.412853e+29     +9.932119e-01     +1.500000e+01     +6.519848e-44
+5.718365e+29     +9.939070e-01     +1.500000e+01     +5.910410e-44
+6.023289e+29     +9.945646e-01     +1.500000e+01     +5.384695e-44
+6.325732e+29     +9.951847e-01     +1.500000e+01     +4.930408e-44
+6.623726e+29     +9.957674e-01     +1.500000e+01     +4.537327e-44
+6.915247e+29     +9.963126e-01     +1.500000e+01     +4.196910e-44
+7.198236e+29     +9.968203e-01     +1.500000e+01     +3.902029e-44
+7.470623e+29     +9.972905e-01     +1.500000e+01     +3.646705e-44
+7.730353e+29     +9.977231e-01     +1.500000e+01     +3.425935e-44
+7.975411e+29     +9.981181e-01     +1.500000e+01     +3.235521e-44
+8.203847e+29     +9.984756e-01     +1.500000e+01     +3.071949e-44
+8.413801e+29     +9.987955e-01     +1.500000e+01     +2.932280e-44
+8.603532e+29     +9.990777e-01     +1.500000e+01     +2.814066e-44
+8.771437e+29     +9.993224e-01     +1.500000e+01     +2.715283e-44
+8.916079e+29     +9.995294e-01     +1.500000e+01     +2.634274e-44
+9.036202e+29     +9.996988e-01     +1.500000e+01     +2.569702e-44
+9.130754e+29     +9.998306e-01     +1.500000e+01     +2.520519e-44
+9.198898e+29     +9.999247e-01     +1.500000e+01     +2.485935e-44
+9.240030e+29     +9.999812e-01     +1.500000e+01     +2.465403e-44
+9.253782e+29     +1.000000e+00     +1.500000e+01     +2.458581e-44

+4.539993e-05     +6.123032e-17     +2.000000e+01     +1.702024e+01
+7.371789e-05     +6.135885e-03     +2.000000e+01     +1.671255e+01
+1.196968e-04     +1.227154e-02     +2.000000e+01     +1.613025e+01
+1.943464e-04     +1.840673e-02     +2.000000e+01     +1.563955e+01
+3.155344e-04     +2.454123e-02     +2.000000e+01     +1.515116e+01
+5.122537e-04     +3.067480e-02     +2.000000e+01     +1.466924e+01
+8.315415e-04     +3.680722e-02     +2.000000e+01     +1.418400e+01
+1.349694e-03     +4.293826e-02     +2.000000e+01     +1.370079e+01
+2.190438e-03     +4.906767e-02     +2.000000e+01     +1.321604e+01
+3.554376e-03     +5.519524e-02     +2.000000e+01     +1.273251e+01
+5.766662e-03     +6.132074e-02     +2.000000e+01     +1.224823e+01
+9.354195e-03     +6.744392e-02     +2.000000e+01     +1.176483e+01
+1.517055e-02     +7.356456e-02     +2.000000e+01     +1.128104e+01
+2.459807e-02     +7.968244e-02     +2.000000e+01     +1.079795e+01
+3.987474e-02     +8.579731e-02     +2.000000e+01     +1.031469e+01
+6.462251e-02     +9.190896e-02     +2.000000e+01     +9.832027e+00
+1.047011e-01     +9.801714e-02     +2.000000e+01     +9.349337e+00
+1.695867e-01     +1.041216e-01     +2.000000e+01     +8.867204e+00
+2.745984e-01     +1.102222e-01     +2.000000e+01     +8.385141e+00
+4.444898e-01     +1.163186e-01     +2.000000e+01     +7.903622e+00
+7.192425e-01     +1.224107e-01     +2.000000e+01     +7.422249e+00
+1.163405e+00     +1.284981e-01     +2.000000e+01     +6.941426e+00
+1.881136e+00     +1.345807e-01     +2.000000e+01     +6.460812e+00
+3.040436e+00     +1.406582e-01     +2.000000e+01     +5.980769e+00
+4.912129e+00     +1.467305e-01     +2.000000e+01     +5.501001e+00
+7.932574e+00     +1.527972e-01     +2.000000e+01     +5.021871e+00
+1.280446e+01     +1.588581e-01     +2.000000e+01     +4.543158e+00
+2.065870e+01     +1.649131e-01     +2.000000e+01     +4.065383e+00
+3.331438e+01     +1.709619e-01     +2.000000e+01     +3.588723e+00
+5.369573e+01     +1.770042e-01     +2.000000e+01     +3.114686e+00
+8.650058e+01     +1.830399e-01     +2.000000e+01     +2.645583e+00
+1.392714e+02     +1.890687e-01     +2.000000e+01     +2.187200e+00
+2.241096e+02     +1.950903e-01     +2.000000e+01     +1.748778e+00
+3.604186e+02     +2.011046e-01     +2.000000e+01     +1.344628e+00
+5.792874e+02     +2.071114e-01     +2.000000e+01     +9.901157e-01
+9.304937e+02     +2.131103e-01     +2.000000e+01     +6.977690e-01
+1.493680e+03     +2.191012e-01     +2.000000e+01     +4.716302e-01
+2.396175e+03     +2.250839e-01     +2.000000e+01     +3.072534e-01
+3.841394e+03     +2.310581e-01     +2.000000e+01     +1.939778e-01
+6.154045e+03     +2.370236e-01     +2.000000e+01     +1.193627e-01
+9.852044e+03     +2.429802e-01     +2.000000e+01     +7.191765e-02
+1.576080e+04     +2.489276e-01     +2.000000e+01     +4.260146e-02
+2.519465e+04     +2.548657e-01     +2.000000e+01     +2.488085e-02
+4.024477e+04     +2.607941e-01     +2.000000e+01     +1.436297e-02
+6.423528e+04     +2.667128e-01     +2.000000e+01     +8.208484e-03
+1.024456e+05     +2.726214e-01     +2.000000e+01     +4.651509e-03
+1.632528e+05     +2.785197e-01     +2.000000e+01     +2.616053e-03
+2.599372e+05     +2.844075e-01     +2.000000e+01     +1.461734e-03
+4.135317e+05     +2.902847e-01     +2.000000e+01     +8.119225e-04
+6.573160e+05     +2.961509e-01     +2.000000e+01     +4.486499e-04
+1.043896e+06     +3.020059e-01     +2.000000e+01     +2.467277e-04
+1.656341e+06     +3.078496e-01     +2.000000e+01     +1.351120e-04
+2.625698e+06     +3.136817e-01     +2.000000e+01     +7.369808e-05
