# k               u                 rapidity          phi
+1.974886e+13     +5.141027e-01     +0.000000e+00     +1.281973e-27
+2.990729e+13     +5.193560e-01     +0.000000e+00     +5.589979e-28
+4.522110e+13     +5.245897e-01     +0.000000e+00     +2.445039e-28
+6.826965e+13     +5.298036e-01     +0.000000e+00     +1.072789e-28
+1.029034e+14     +5.349976e-01     +0.000000e+00     +4.721777e-29
+1.548606e+14     +5.401715e-01     +0.000000e+00     +2.084880e-29
+2.326774e+14     +5.453250e-01     +0.000000e+00     +9.235464e-30
+3.490303e+14     +5.504580e-01     +0.000000e+00     +4.104338e-30
+5.227102e+14     +5.555702e-01     +0.000000e+00     +1.829958e-30
+7.815221e+14     +5.606616e-01     +0.000000e+00     +8.186209e-31
+1.166534e+15     +5.657318e-01     +0.000000e+00     +3.674305e-31
+1.738291e+15     +5.707807e-01     +0.000000e+00     +1.654695e-31
+2.585893e+15     +5.758082e-01     +0.000000e+00     +7.477326e-32
+3.840207e+15     +5.808140e-01     +0.000000e+00     +3.390451e-32
+5.693097e+15     +5.857979e-01     +0.000000e+00     +1.542647e-32
+8.425308e+15     +5.907597e-01     +0.000000e+00     +7.043653e-33
+1.244686e+16     +5.956993e-01     +0.000000e+00     +3.227327e-33
+1.835543e+16     +6.006165e-01     +0.000000e+00     +1.484024e-33
+2.702050e+16     +6.055110e-01     +0.000000e+00     +6.848193e-34
+3.970453e+16     +6.103828e-01     +0.000000e+00     +3.171682e-34
+5.823691e+16     +6.152316e-01     +0.000000e+00     +1.474235e-34
+8.526323e+16     +6.200572e-01     +0.000000e+00     +6.877714e-35
+1.246018e+17     +6.248595e-01     +0.000000e+00     +3.220457e-35
+1.817522e+17     +6.296382e-01     +0.000000e+00     +1.513575e-35
+2.646195e+17     +6.343933e-01     +0.000000e+00     +7.140462e-36
+3.845427e+17     +6.391244e-01     +0.000000e+00     +3.381233e-36
+5.577526e+17     +6.438315e-01     +0.000000e+00     +1.607241e-36
+8.074340e+17     +6.485144e-01     +0.000000e+00     +7.669304e-37
+1.166634e+18     +6.531728e-01     +0.000000e+00     +3.673641e-37
+1.682359e+18     +6.578067e-01     +0.000000e+00     +1.766547e-37
+2.421325e+18     +6.624158e-01     +0.000000e+00     +8.528240e-38
+3.478017e+18     +6.669999e-01     +0.000000e+00     +4.133391e-38
+4.985959e+18     +6.715590e-01     +0.000000e+00     +2.011274e-38
+7.133428e+18     +6.760927e-01     +0.000000e+00     +9.825814e-39
+1.018532e+19     +6.806010e-01     +0.000000e+00     +4.819633e-39
+1.451348e+19     +6.850837e-01     +0.000000e+00     +2.373666e-39
+2.063877e+19     +6.895405e-01     +0.000000e+00     +1.173805e-39
+2.928905e+19     +6.939715e-01     +0.000000e+00     +5.828468e-40
+4.147920e+19     +6.983762e-01     +0.000000e+00     +2.906065e-40
+5.862101e+19     +7.027547e-01     +0.000000e+00     +1.454990e-40
+8.267391e+19     +7.071068e-01     +0.000000e+00     +7.315256e-41
+1.163510e+20     +7.114322e-01     +0.000000e+00     +3.693391e-41
+1.634004e+20     +7.157308e-01     +0.000000e+00     +1.872658e-41
+2.289873e+20     +7.200025e-01     +0.000000e+00     +9.535439e-42
+3.202135e+20     +7.242471e-01     +0.000000e+00     +4.876222e-42
+4.468197e+20     +7.284644e-01     +0.000000e+00     +2.504372e-42
+6.221342e+20     +7.326543e-01     +0.000000e+00     +1.291809e-42
+8.643496e+20     +7.368166e-01     +0.000000e+00     +6.692538e-43
+1.198238e+21     +7.409511e-01     +0.000000e+00     +3.482429e-43
+1.657446e+21     +7.450578e-01     +0.000000e+00     +1.820055e-43
+2.287566e+21     +7.491364e-01     +0.000000e+00     +9.554689e-44
+3.150213e+21     +7.531868e-01     +0.000000e+00     +5.038361e-44
+4.328460e+21     +7.572088e-01     +0.000000e+00     +2.668701e-44
+5.934018e+21     +7.612024e-01     +0.000000e+00     +1.419924e-44
+8.116727e+21     +7.651673e-01     +0.000000e+00     +7.589396e-45
+1.107706e+22     +7.691033e-01     +0.000000e+00     +4.074888e-45
+1.508256e+22     +7.730105e-01     +0.000000e+00     +2.197936e-45
